kwookwilkwowit,	kwookwilkowit,
Ke:mah de yo:n, seki:n kololowa ihkó:n wa:n kite:ma nika:n ima:ko ihkó:n	Enseguida juntan los bichos y los ponen sobre la palma de la mano así.
ihkó:n seko sah, seko sah kininsentilia yo:n okwilimeh ihkó:n kinololowa, [ih]ko:n	así ya juntan los bichos, así los juntan,    
A:mo no: siwa:pil ok ta: pos no: ke:meskia pilte:nan.	No es la joven sino la madre del niño.
kwaltsi:n kinte:ma wa:n ke:mah sepa kinwa:lkwi nika:n.	los junta en una sola parte y otra vez los trae por acá.
Kwaltsi:n kichipa:wa. Ke:mah kili:s n' imoma:n, "A:man x'kita sepa ke:meh ki:sak.	Lo frota muy bien. Luego le dice a la mamá del niño, "Ahora mira otra vez como salieron los bichos.
Ekintsi:n a:mo niki:xtili:s ok, niki:xtili:s hasta wi:pta.	Ahora ya no lo voy a frotar, voy a frotarlo hasta pasado mañana.
mahyá: yo:n pohposoktik.	defeca así como espuma.
Entó:s de: 'kwehmolohtokeh n' okwilimeh	Entonces como lo están dañando los bichos,
A:mo teh 'kokowa n' ikwitte:nte:noh. Ke:mah, i:pa de yehwa sah yo:ni.	No le duela nada abajo de la cintura. Sí pues nada más es eso.
wa:n kihtowa, "¡X'kwito", kihtowa, "yehwa i:n". "¿Toni?" nikilia.	y me dice, "Ve a traer", dice "esa planta". ¿Cuál planta? le digo.
Ta:li:xko ata", kihtowa, "mosowa. Onkak n' chi:chi:ltik wa:n onkak ne:n kostik.	"Se extiende sobre suelo" dice. Hay de color rojo y hay de color amarillo.
¡Xkwa:lkwi", kihtowa, "n' kostik!	"Trae el de color amarillo", dice 
Sikiera e:yi para t'sowilis n' xiwit wa:n ke:mah", kihtowa, "tikilpili:s nika:n.	Traes siquiera tres frutos para que lo tiendas sobre la hoja y luego lo amarras aquí.
Wa:n tikitas", kihtowa, "patsa:wayas"	"Y verás" dice "que se va a desinflamar". 
Nikilia, "¿Wa:n kwaltias tak?" Kihtowa, "Ke:mah kwaltias wa:n tikitas", kihtowa, "koma:mo kwaltiak".	Le digo, "¿Y crees que te va a hacer efecto?" Dice, "Sí me va a hacer efecto verás que sí", dice, "si no me hizo efecto".
Pos neli niah wa:n neli nikwito.	Pues de veras fui y lo traje.
Yehwa neh n'talia nota:tahsti:n ikechko,	Esos son los que le puse a mi esposo en la garganta,
A:man a:mo akah semi ihkwi tikita kechtiti:ka.	Actualmente ya no ves a nadie que se le hinche a la garganta.
Ento:s yehwa neh ne:chhilihkeh ika m'pahti. Wa:n 'pahtik.	Entonces me dijeron que lo curara con esos frutos. Y se curó.
Pero i:n se:, i:n se: yeh pos a:mo ke:man wel xikwi pahti nimolia porque* pos neli ka:nika x'kitski	Pero este otro, este otro no se puede usar para curar porque no hay dónde agarrarlo con las manos.
Wa:n yeh ika a:mo wel se: kikwi ke:meh tehtsonkilit n' ipanko.	Y por eso no se puede tocar porque por encima del tallo se parece al tallo de mala mujer.
Ke:mah, onkak, onkak wa:n wehwei n' ima:y,	Sí, de que abunda sí abunda y tiene las hojas grandes,
ke:niwki ne:n ixiwyo wa:n ke:niwki ne:n ita:kka?	cómo son sus hojas y cómo son sus frutos.
I:pa ke:meh, ke:meh, ne:, mah nikihto ke:meh yo:li xo:chitsí:n ihkak sah, pero ompa pepechiwtok,	Están así como, como cuando brotan las flores son erectas pero se encuentran pegadas al tallo,
Kwali 'te:chtapowi:s ox we:i moskaltia ke:niwki n' ixiwyo ke:niwki n' ita:kka wa:n ke:niwki ne:n ixo:chio.	Puedes platicarnos si crece la mata grande, cómo son sus hojas, cómo son sus frutos y cómo son sus flores.
Ke:mah, wa:n ma:pa:pata:wak, ma:pa:pata:wak ihko:kontsitsi:n ka:mpa no: semi ta:lna:miki.	Sí, y la planta tiene hojas anchas, son así de anchas en donde se adaptan mejor las matas.
Eheh, ¿oso nixolopih?	Eheh, ¿o estoy mintiendo?
N'mattok ke ke:mah, kipia nika:n ima:tampa wa:n kipia n' ii:xko.	Sé que así es, tienen espinas en el ház y en el envés.
Ompa ixwa ya n' tomatsi:n, n' kowtsí:n.	Ahí nacen las plantitas.
Wa:n yehwa ya n' chi:chi:ltik tikihtowa mah nimitsili ke:ní:w n' ima:y,	Y el de los frutos rojos quieres que te platique cómo son sus hojas,
ke:meskia mahmaxaltik n' ima, n' ima:iehekapan ke:meskia ompa kiyowalohtok ihkó:n.	como si tuvieran cortes en las orillas de las hojas, y son como redondas así.
pos ne:pa ki:sati pero kipia n' iyekatsol.	salen por ahí pero ahí tiene la punta.
Soh ke a:mo n'mati ke:yeh yo:n kostia wa:n ke:yeh yo:n chi:chi:le:wi yehwa yo:n a:mo wel n'takaya:wa ke:yeh.	Lo que no sé es el por qué uno tiene frutos de color amarillo y otro tiene frutos rojos, de eso no puedo engañar por qué.
Ka:mpa n' ima:i:x ke:meh i:n nika:n e:wtokn' ima:i:x wa:n i:n yahtok a para ne:	En donde tiene los nudos, por aquí tiene los nudos y salen las ramas para allá
tein ima:y, ke:meh eskia n' ima:y wa:n ikowyo nika:n ompa mota:lia ya xo:chitsi:n. Se: xo:chitsi:n pero kwaltsi:n ista:k iyo:la:n kostik.	en la rama, como si fuera el tallo, ahí brota la flor. Es una florecita de color blanco pero es bonita y en el centro es de color amarillo.
¿Keni:w no: t'to:ka:ytiah n' tehwa:tsi:n?	¿Usted cómo le llama?
Ne:, pos neh nikilia, ne:, kostik kwitakowit.	Este, pues yo le llamo este, <i>kostik kwitakowit</i>.
kitekih mahyá: kowtakwahkowi:l	la madera la cortan como si fuera leña
ke:meh ne: se: kowit timotehtekiliah para t'chichino:tih	como cuando cortamos leña para quemar
kita:liah mahyá: yo:n ika takorra:ltiah.	los usan para corral.
Entó:s ompa ya itsmoli:ni a.	Entonces las estacas ya retoñan ahí.
Pe:wa xo:chiowa ya	Empieza a florecer
I:pa tamela:wa xo:chitsí:n sah,	Son puras flores nada más,
i:pa kikwih ikowyotsi:n para kito:kah.	sólo usan el tallo para corral.
[ke:]meh eskia se: kipopo:chwia wa:n ika se: kichipa:wa m' pili,	se limpian y también se usan para sahumar al niño
wa:n ke:mah xiktsompacho ya.	luego lo acuestas y lo abrigas muy bien.
para ke:mah, tikpopo:chwiaya ne:n xo:chitsí:n wa:n t'chipa:wa ika ya m' pili.	para que en seguida sahumes las flores y después le haces la limpia al niño.
Ne:, ihkó:n nikchi:wa neh.	Este, así lo hago yo.
Niman ne:chilwiah, "Nopili niman kwali moka:w.	Luego me dicen, "mi hijo luego mejoró.
Kochik wa:n mi:to:nih wa:n ke:mah	Se durmió, sudó y luego
a:mo kimachilih ok n' kokolis tein kipia ya".	ya no sintió la enfermedad que padecía".
para nimotaxta:wilia nitemowa itech n' tepos	para pagar mi pasaje al bajar de la camioneta
Entó:s ne: ihkó:n nipanowa n' to:nal.	Entonces así paso el día.
Wa:n kwaltsi:n, ne:, nikpahpachowa ya m' pili, wa:n nikilpilia ika teisá:, ika yehwa n' a:ko:kohxiwtsi:n.	Le hago muy bien los masajes al niño, le pongo como emplasto hojas de <i>a:ko:kohxiwt</i> y le amarro con algo.
Entó:s wa:n n'ta:lilia xo:me:tsi:n nika:n, itech, ne:n, ixi:ktsi:n.	Entonces también le pongo hojas de saúco en el ombligo.
Entó:s yo:n xo:me:tsi:n ompa tewa:ki, mochi:wa tsikitsi:n.	Entonces las hojas de saúco ahí se secan, se hacen chiquitas.
Po:n nikilpilia,	Se lo amarro,
Mah kipia sayoh xiwtsi:n x'kihkwanili komohkó:n.	Nada más se las quitas a las hojas pero el aceite no.
pos mopepechowa.	Pues se pega.
ipoxtsi:n, se: kita:lia se: ima:tsi:n ihkó:n	abdomen, se coloca la mano así
wa:n se: kimaga ihkó:n	y se le da golpecitos así
ompa ya n' tikpahpachowa. Ompa t'xakwalowa, ompa tikchi:wilia *remedio*.	ahí le haces los masajes. Le frotas y ahí le haces el remedio.
tikwih yo:n pitsot imante:kayotsi:n tein yo:n ikosti:yahtampa kipia.	ocupamos la manteca de cerdo que se le saca debajo de las costillas.
ka:mpa kakisti n' ipoxtsi:n. Ompa t'ta:liliah wa:n tikilpiliah.	en la parte dónde se escucha su abdomen. Ahí le ponemos y le amarramos.
Yehwa t'ta:liliah tehwa:n, nikta:lilia neh. a:mo n'mati ox nochi ihkó:n tekitih, pero neh ihkó:n nikchi:wa.	Ese es el que le ponemos nosotros, yo le pongo, no sé si todos trabajan así, pero yo así lo hago.
[ko]mo ke niman yowi mokalawi:ti kihtowah.	dicen que luego se va a hacer del baño.
De mokalawi:ti a pos no: kitah ne:n, imomá:n, ke:ní:w mokalawi:ti.	De que se va al baño pues también su mamá ya se da cuenta cómo está defecando.
De e:lo:t nejó:n nexwitil kipia ya.	De haberse empachado con elotes.
Kihtowa, "Nopili", kihtowa, "kikwah e:lo:t, wa:n de kikwah", kihtowa, "n' e:lo:t pe:wak tsahtsi wa:n pe:wak tsahtsi", kihtowa, "mo:tsika".	Dice, "mi hijo", dice "comió elote y después de comer", dice, "empezó a llorar y siguió llorando", dice "hasta al día siguiente"
"Ke:mah", nikilia, "ika moxwitih",	"Sí", le digo, "con eso se empachó",
wa:n sepa ihkwí:n nikwi:ka wa:n nika:n	y otra vez lo llevo de este llado y por acá
mahyá: yehwa ya machi:yo:t nikchi:wa ika.	lo hago como si fuera el <i>machi:yo:t</i>
nochi ki:sak nejó:n pachti de n' e:lo:t.	salieron todos los  restos de elote.
tomi:ntsi:n", nikilia, "nochipa we:lik. Sayoh mah se: kipia wa:n mah, mah se: momaka komo se: mo'kne:lia.	dinerito, le digo, "siempre tiene su uso". Sólo hay que ganarlo y hay que pagar si uno se comadece de alguiel.
A:kin te:ikne:lia", nikilia, "te:maka wa:n a:kin a:mo", nikilia, "pos mosemakaya de a:mo te:maka.	Alguien que se compadece, le digo, paga y la persona que no, le digo, pues se hace tonto y ya no paga.
Fie:roh ni:xiwinti kihtowa.	Me dan mareos dice.
Nikilia, "¿Wa:n ke:[yeh]n' ti:xiwinti?"	Le digo, "Y porqué te dan mareos?"
Ke:mah. Wi:tseh de parahko ne:chkalpano:kih ompa ne: ka:mpa nitekiti.	Sí. Vienen de por allá arriba a visitarme ahí en donde trabajo. 
Pero pos nikmattok ka:ni niwi:tsa. Ke:mah.	Pero pues sé a dónde vengo. Así es.
A:mo semi, a:mo wehkapantik.	No mucho, no es muy alto.
A:mo, soh ke:meh se: ne:, se: [ke:]meh se: neketsal kwali.	No, sólo como un, un, a la altura de una persona grande.
Kwali, kwali se: neketsal ika se: ima:y wa:n ompa ya m' poso:ni. Uhuh.	Es la altura de una persona adulta levantando la mano, y de ahí ya empieza a florecer. Uhuh.
Ta: onkak nikilia, se:, ne: semi onkak San Migue:lkopa.	Hay le digo, abunda mucho allá por San Miguel.
Nika:n por A:yo:tzi:na:pampano: mochi:wa ok.	Acá por A:yo:tsi:napan también se da todavía.
Neh no: n'to:kka ya pero a:mo mochi:wak.	Yo también la habia sembrado pero no retoñó.
para pahtsi:n tikchi:wah. Ehe.	para hacer remedios. Ehe.
Sepa i:n okseki i:n ista:k kwitakowit, yeh niksentilia na:wi, ista:k kwitakowit,	Y el otro tipo de <i>ista:k kwitakowit</i>, ese corto cuatro puntas de <i>ista:k kwitakowit</i>
na:wi ista:k kwitakowit wa:n na:wi witsikilma:it, ikechyo tein seltsitsi:n	cuatro de <i>ista:k kwitakowit</i> y cuatro puntas de erizo, las puntas que están tiernitas
wa:n nikwi na:wi ikechyo ne:n, awakaiswat, awakaxiwtsi:n.	y ocupo cuatro hojas de aguacate, hojas de aguacate.
Wa:n ke:mah, wa:n ti:ltik kwitakowittein yo:n ma:pisili:toh	Y luego, el <i>ti:ltik kwitakowit</i> que tiene hojas muy pequeñas
ma:pisili:toh onkak, nikpia kalte:noh i:xkich pero a:mo nikwa:lkwik.	tiene hojas muy pequeños, tengo unas matas frente a mi casa pero no las traje.
Pero yehwaya neh nikwi.	Pero esas son las que yo uso.
Yo:n se: *litr n' a:t ompa n'ma:xakwalowa kwaltsi:n, kwaltsi:n, kwaltsi:n n'ma:xakwalowa	En ese litro de agua machaco muy bien las hojas, las machaco muy bien
para mah, mah ki:sa n' toto:nik.	para que se, se le baje la temperatura.
Panki:sa n' toto:nik.	Sube la temperatura.
Ke:mah, ihko:ni, ihkó:n se: kichi:wa n' teisá: pahtsi:n.	Sí, así, así se hace el remedio.
pos ne:chta:lili:tih ne: xiwit, pero ne: a:mo nikmati ox ne:chana:mikiti.	pues me van a curar con esas hojas pero no sé si vayan a hacer efecto.
Ne:chta:lili:tih i:n ne:, ne: pahtsi:n, a:[i]t ox ne:chna:mikis.	Me van a curar con esas medicinas pero tal vez no me cure.
Ke:mah, ihkó:n se: kihtowa n' teisá:.	Sí, así se debe de decir.
A:man sepa timokepatih ika ne:n tein kohkostik ne:n ixo:chio, ¿Kwali tite:chilwi:s ke:niwki ne:n ikowyo wa:n ke:niwki ne:n ixiwyo n' tein tikihtowa semi onkak ne: San Migue:lkopa?	Ahora vamos regresarnos con la planta que tiene flores de color amarillo, ¿Puedes platicarnos cómo son sus hojas y cómo es el tallo del que dices que abunda en San Miguel?
Ah, ma:we:weyak, ma:we:weyak, ma:ihko:kó:n, ma:ihko:kó:n. Ke:mah de ma:ihko:kó:n.	A, tiene las hojas alargadas, son alargadas, son así sus hojas, son de este tamaño. Sí, son alargadas.
Komo posteki pos, i:xaktok sah.	Cuando se quiebra pues tiene como pedazos de madera.
A:mo, a:mo xama:ni, i:xaktok sah.	No, no se rompe, tiene como pedazos de madera.
Ke:mah. A:mo, a:mo ne:, wa:n ne:n a:ko:kohkowit yeh, yeh a:mo.	Sí. No, no este, y el tallo de la <i>a:ko:kohkowit</i>  no es así. 
Yeh mosenkwitok mahyá: ma:ski ka:mpa ihi:xihkak n' ixiwyotsi:n pero a:mo i:xaktok.	Ese está toda completa la madera en donde tiene sus nudos por donde  salen las hojas.
Yeh mosenkwitok, mosenkwitok mahyá:,	Ese todo está completo, está completo como si fuera,
komo ke mahyá: se: kowtsí:n sewila:ntok.	somo si estuviera tendida una sóla madera
Komo tikxama:nia a:mo, a:mo posteki, tikxama:nia pos sexama:ni sah.	Si la quieres romper no se va a quebrar, no se quiebra se rompe nada más. 
Ke:mah, ihko:ni yo:n.	Sí así es esa madera.
Onkak i:ni ista:k wa:n onkak i:ni yo:n ti:ltik.	Hay uno de color blanco y hay otro de color negro.
Wa:n okseki no: onkak pero ne:, nejó:n no: mono:tsa kwitakowit.	Y hay otro que también se llama <i>kwitakowit</i> pero este.
Ahwia:k pero mah tikihto:ka:n a:mo ahwia:k de,	Tiene así una aroma digamos que es aromático de,
de ke:ní:w, sokemahyá: teltsohya:k.	de cómo sino que es como apestoso.
mahyá: yo:n itskwinti ka:mpa wetstok, semi xankahya:k ne: xiwtsi:n, a:mo nikwi.	el olor que tiene es como el olor de un perro muerto, tiene un olor a <i>xankahya:k</i> muy mal por eso no la uso.
Pero n' okseki ke:mah, ti:ltik kwitakowit wa:n ista:k kwitakowit wa:n yehwa ya n' kostik kwitakowit.	Pero los demás sí, el <i>ti:ltik kwitakowit</i>, el <i>ista:k kwitakowit</i>  el <i>kostik kwitakowit</i>.
¿Wan tom pahyo kwali se: kikwi? X'te:chtapowi de ista:kkwitakowit nochi.	¿Y para qué enfermedad se puede curar? Platícanos todo del <i>ista:k kwitakowit</i>.
iteyotsi:n mahyá: tao:ltsi:n, pohpochiktik.	sus frutos se parecen al maíz, son blancos.
Pohpochiktik, pohpochiktik [mopi]ilowa, ne: mopilowa mahyá: kapoltsi:n.	Son blancos, son blancos, se cuelgan, se cuelgan como si fueran capulines.  
Wan de mopilowa ya n' iteyotsi:n pos ompa xi:ini a.	Después de que se cuelgan ahí se caen otra vez.
kikwa, ne:n, yo:n tikiliah koyoltsi:n,	se alimenta el pájaro <i>koyoltsi:n</i>,
Wa:n metskohkostikeh n' chiktehmeh semi k'welitah yo:n kowtetsi:n, kikwah, mm.	Los pájaros que tienen las patas amarillas les gusta mucho aliemtarse de esos frutos, mm
Pero yeh n' ima:tsitsi:n pos semi seltsitsi:n	Y tiene las hojas muy tiernitas
Ke:meh to:nto:nal ne:pa nikwa:lkwia.	Como las que traje hace unos días.
Ne:n ti:ltik kwitakowit a:mo x'tahtani ne:n, a:mo x'tahtani yo:n kostik kahfe:n.	El <i>ti:ltik kwitakowit</i> es muy parecidos al café amarillo
Nochi m'pia kalte:noh.	Todas esas plantas las tengo frente a mi casa.
Pero pos a:mo ne:chwa:ltohtoka de niwa:le:wa.	Pero pues cuando vengo no me vienen siguiendo.
Malakachtik sah mochi:wa, yehwa yo:n kostik.	Se ramifica alrededor del tallo, el de color amarillo.
Wa:n ista:k yeh mochi:wa we:i.	Y el blanco crece un árbol grande.
Momahmaxalowa komo ke ne:n kowtsi:n.	Se ramifica el arbolito.   
Yeh we:i mochi:wa wa:n pero okseki a:mo wehwei.	Ese crece un  árbol grande pero los demás no son grandes.
Yeh sayoh ihkwín, komo semi telwe:i, ihko:ntsi:n sah.	Ese nada más crece así si es que crece muy grande, así nada más.
Kohkostik kapoltsitsi:n.	Son de color amarillo los capulincitos.
Mahyá: yo:n tikiliah chi:ltekpibo:lah.	Se parecen mucho al chiltepín bola.
Ke:mah, tein nikilia ti:ltik kwitakowit ma:ihko:ko:ntsitsi:n.	Sí, es el que le llamo <i>ti:ltik kwitakowit</i> es el que tiene las hojas pequeñas así.
Yehwa i:n tikihtowa kohkostik n' iteyo i:n tein teh tikilwia ti:ltik kwittakowit.	El que dices que tiene frutos amarillos es el que le llamas <i>ti:ltik kwitakowit</i>.
A:mo nike:manti, mm.	No tengo tiempo, mm.
Tikihtowa i:n tein ista:k eh, n' ixo:chio semi ahwia:k yowak.	Dices que el que tiene flores blancas emite un olor aromático por las noches.
Yeh ahwia:k yowak, semi tel ahwia:k yowak.	Ese emite un olor aromático por las noches, es muy aromático por las noches.
I:pa ahwia:k yowak sah.	Sólo por las noches emite ese olor.
Poliwi a n' ahwia:ka:yo:t de xo:chitsi:n.	Desaparece el olor de la flor.
Ke:mah. Yehwa yo:n.	Sí. Eso es.
I:n ti:ltik kwitakowit, ¿no: ahwia:k yowak n' ixo:chio?.	El <i>ti:ltik kwitakowit</i>, ¿también emite un olor por las noches?.
Motsonikapilowa wa:n ompamotsonikapilowa, ompa kohkopi:ni a sepa wa:n ke:mah mochi:wa ya n' iteyotsi:n. Uhuh.	Se cuelgan hacia abajo sus flores, se quedan colgadas y después se van chispando para producir frutos. Uhuh.
¿Ke:niwki, ka:ni mochi:wa? ¿Ke:niwki yeh n' ita:kka, ixo:chio, ixiwyo.	¿Cómo es y a dónde se da? ¿Cómo son sus frutos, sus flores y sus hojas?
Tamela:wa mochi:wa se: kowit we:i, we:i, we:i mochi:wa no: n' kowit, pero a:mo ta:ki.	Llega a crecer un árbol grande, grande, crece un árbol grande pero no produce frutos.
Wa:n a:mo xo:chiowa.	Ni tampoco florece.
Kohkostik n' iteyotsi:n.	Sus frutos son de color amarillo. 
Tein i:n xankahya:k, ¿ke:niwki n' ixiwyo?	El que tiene olor a <i>xankahya:k</i>, ¿cómo son sus hojas?
Pero sayoh ke ne:, oksé: sabor kipia.	Pero nada más que ese, tiene otro olor.
Pos kikwih para n' ehekat.	Pues usan para curar el mal aire.
Para n' ehekakokolis.	Para la enfermedad del mal aire.
Ata moa:toktih n' kone:t.	Se ahogó en río, se lo llevó el agua el joven.
Wa:n ke:mah ne:, ne: siwa:pil no: pe:wak.	Y entonces esta niña también se enfermó.
Wa:n pe:wak tiktanechiko:lxiwaha:wiah.	Y empezamos a bañarla con hojas de <I>tanechiko:l</i>.
Pos no: n'manka.	Pues también herví esas hojas.
No: n'manka iwa:n. Pos ka:n n'matia ok, ka:n t'matiah ok toni t'pahti:tih ika.	También las había hervido. Pues ya no sabía, ya no sabía con qué curarla.
Pero tikta:lilihkeh wa:n pahtik. Aha.	Pero la bañamos y se curó. Aha.
Miak taman. Miak taman.	Muchas hierbas. Muchas hierbas de diferentes tipos.
Yehwa yo:n tikwis n' ti:ltik kwitakowit, ista:k kwitakowit,	Vas a usar el <i>ti:ltik kwitakowit</i>, <i>ista:k kwitakowit</i>,
tein kostik wa:n yehwa ya yo:n nikihtowa xankahya:k wa:n ne:n,	el de color amarillo y el que tiene un olor a <i>xankahya:k</i> y el
wa:n ne:n kaba:yoh kwitaxiwit.	el <i>kaba:yoh kwitaxiwit</i>.
Kaba:yoh kwitaxiwit wa:n ne:n,	El <i>kaba:yoh kwitaxiwit</i> y el,    
ne:n, i:n chi:nich.	el <i>chi:nich</i>.
Chi:nich wa:n tikwi a ne:n, omikilit.	Ocupas el <i>chi:nich</i> y el <i>omikilit</i>.
Tikwi n' awakaiswat ya.	Usas las hojas de aguacate. 
Wa:n tikwi a ne:n,	Usas las,
tikwi a ne:n i:n,	ocupas las,
Chakay xiwit iwa:n t'pante:ma.	Le echas las hojas de chaca.
Wan teahwachtikte:milia ka:mpa kochi.	Y las hojas de <i>teahwach</i> las pones en donde duerme.
Komo ika tikito:nia entó:s mochi:wa m' pili ne:,	Si las ocupas para sudar entonces el niño este, 
¿Nochi a eskia de n' kwitakowit, a:mo teisá: ok tikmati de n' kwitakowit?	¿Sería todo del <i>kwitakowit</i>, no  sabes algo más del <i>kwitakowit</i>?
We:noh. Komohkó:n nochi a n' kwitakowit, xte:chili moto:ka:y.	Bueno pues si es todo del <i>kwitakowit</i> dínos tu nombre.
A:man xte:chnohno:tsa de i:n xiwit tein mochi:wa mi:lah, i:n tikto:ka:itia tehwa:tsi:n mi:lahmo:so:t,	Ahora platicanos de esa hierba que se da en las milpas, ese que usted le llama mi:lahmo:so:t,
ke:niwki, ka:ni ne:n mochi:wa, ke:niwki ixo:chio, toni kwali se: kikwi.	como es, donde se da, co mo son sus flores, para que se puede ocupar.
Mm. Ne: mi:lahmo:so:t mochi:wa ne: ma:pisi:ltik tepitsi:n wa:n tepitsi:n ma:ahalaxtik	Si. Ese mi:lahmo:so:t se da un poco de hojas chiquitas y hojas lisas
wa:n yehwa se: kikwi pahti.	y ese lo ocupa uno para remedio.
Ne: onkak e:yi taman,	Este hay tres tipos,
Wa:n seki yehwa tein a:mo kikwa nió:n to:tolin, nió:n pio a:mo kikwa.	Y otro es el que no se lo come el totole, ni el pollo se lo come.
Wehkapan mota:lia, wehwei kwowit.	Se hace grande, son matas grandes.
Wa:n i:n seki yeh a:mo, yeh ahwia:k, tein mi:lah, mi:lahtsi:nko mochi:wa, semi ahwia:k.	Y el otro ese no, ese tiene rico aroma, el que es de milpa, el que se da en la milpa, es muy aromatica.
Wa:n para nakimatiskeh neh nikwa:lkwis nejó:n xiwit.	Y para que sepan yo voy a traer esa hierba.
